RunNumber	Efficiency
20014.0	0.03125
20015.0	8.179587385258566E-4
20017.0	7.118704395799964E-4
20018.0	9.044184148412856E-4
20019.0	7.724824582108448E-4
20021.0	8.974898331229841E-4
20022.0	7.697790449037776E-4
20023.0	0.0019561268687997764
20024.0	0.001923899102180419
20026.0	8.480140059087428E-4
20027.0	8.254911672445105E-4
20030.0	0.0012644768227146018
20031.0	0.0012180629827688652
20032.0	9.664099335227106E-4
20033.0	9.193805418215993E-4
20036.0	0.016758505031145184
20038.0	0.017461942794730016
20039.0	0.01746314435539725
20041.0	6.066120715802245E-4
20042.0	6.216972334473111E-4
20043.0	9.034978273028439E-4
20044.0	5.570570880356517E-4
20045.0	8.066801840102907E-4
20046.0	4.983012457531144E-4
20047.0	4.557119900223059E-4
20048.0	2.522640700285058E-4
20051.0	2.4166794823911946E-4
20055.0	6.763001871097185E-4
20056.0	2.0347719924939523E-4
20057.0	3.155356217178661E-4
20059.0	4.0466716125986375E-4
20060.0	4.7084479468688823E-4
20072.0	2.9253722151226344E-4
20075.0	7.513685641704533E-4
20076.0	4.5329335053523486E-4
20077.0	5.200208008320333E-4
20078.0	3.115911923556294E-4
20079.0	3.1064670996893535E-4
20080.0	4.466501240694789E-4
20081.0	3.5823950870010233E-4
20082.0	4.973952197701511E-4
20083.0	2.360222385398091E-4
20084.0	3.135205747877204E-4
20085.0	4.850403349331155E-4
20086.0	2.75027502750275E-4
20089.0	4.162483778555863E-4
20090.0	4.2583392476933996E-4
20091.0	5.305321237200913E-4
20093.0	4.033986334871291E-4
20094.0	3.5001750087504374E-4
20095.0	3.385416666666667E-4
20096.0	2.745744096650192E-4
20097.0	5.678591709256105E-4
20098.0	4.4509877769027974E-4
20100.0	4.747626186906547E-4
20101.0	3.698498409645684E-4
20104.0	3.520949650419999E-4
20105.0	3.380091262464086E-4
20107.0	3.57088200785594E-4
20108.0	3.556549131185855E-4
20111.0	5.592130347474645E-4
20112.0	3.865680488622014E-4
20113.0	4.5451367037270123E-4
20114.0	3.138294162772857E-4
20116.0	1.4780873549626782E-4
20117.0	4.7670934350313264E-4
20118.0	5.054717314934163E-4
20119.0	4.2887776983559683E-4
20120.0	5.401790307644819E-4
20121.0	2.5023146410429645E-4
20123.0	5.471742359102634E-4
20124.0	5.109449792932825E-4
20125.0	3.3973161202649905E-4
20126.0	4.449388209121246E-4
20127.0	4.7084673938632975E-4
20128.0	4.8388397537568213E-4
20129.0	2.0109091823140537E-4
20131.0	5.26416539050536E-4
20132.0	7.458736345700399E-4
20133.0	5.035850459221601E-4
20134.0	6.25045075366012E-4
20135.0	6.641429235571495E-4
20136.0	5.770895450610753E-4
20137.0	6.071792879001312E-4
20138.0	5.543771693019669E-4
20139.0	6.921124810950757E-4
20140.0	7.760962359332557E-4
20141.0	4.47648666478183E-4
20142.0	5.291896182618526E-4
20143.0	4.799731215051957E-4
20144.0	4.1499515838981876E-4
20145.0	6.625807520291535E-4
20148.0	5.797941730685607E-4
20149.0	5.491094876569737E-4
20150.0	5.654109831083469E-4
20151.0	6.629886581583122E-4
20152.0	4.2235675066873153E-4
20153.0	5.692734647406248E-4
20154.0	4.906656697586392E-4
20155.0	3.7604587759706683E-4
20156.0	5.251411316791387E-4
20157.0	4.820090135685537E-4
20158.0	3.843659163523675E-4
20160.0	5.831991975179042E-4
20161.0	6.024794345962229E-4
20162.0	4.639187214400037E-4
20163.0	3.948162943007107E-4
20164.0	4.6160592702010296E-4
20165.0	5.215247487198938E-4
20166.0	7.158708568974157E-4
20167.0	7.205288054885499E-4
20168.0	7.017543859649122E-4
20169.0	3.825676666560398E-4
20170.0	5.636044160063654E-4
20171.0	4.789272030651341E-4
20172.0	7.087172218284905E-4
20173.0	7.123652825332629E-4
20174.0	6.379057789538345E-4
20175.0	5.04346990729622E-4
20176.0	3.6548817036621915E-4
20177.0	5.412475756619007E-4
20178.0	4.587997797761057E-4
20179.0	5.12844421651359E-4
20181.0	5.111049159000093E-4
20182.0	4.164664424155054E-4
20183.0	6.11925753008635E-4
20184.0	4.6413968394297715E-4
20185.0	3.8480963948146903E-4
20186.0	5.58849256487511E-4
20187.0	5.478633330012949E-4
20191.0	3.539655945442103E-4
20192.0	4.710870333294076E-4
20193.0	4.064360341406269E-4
20194.0	5.521048999309869E-4
20195.0	5.469809032319436E-4
20196.0	3.968346600060692E-4
20197.0	4.6736615801649804E-4
20199.0	3.632928867252779E-4
20200.0	7.756259543834986E-4
20201.0	4.930358683594232E-4
20202.0	4.546215873471634E-4
20203.0	5.690224194833276E-4
20205.0	5.19249313849121E-4
20207.0	4.09109504977499E-4
20208.0	5.338284785888361E-4
20209.0	4.39906461994397E-4
20213.0	3.356831151393085E-4
20214.0	6.241331484049931E-4
20215.0	4.90757402257484E-4
20216.0	4.765578904370717E-4
20217.0	6.187126194459085E-4
20219.0	5.264121578320974E-4
20220.0	5.725016030044885E-4
20221.0	4.391845037215108E-4
20222.0	6.915937890415849E-4
20223.0	4.600818461389447E-4
20224.0	4.0346984062941297E-4
20225.0	3.945843300697921E-4
20226.0	6.336672272184446E-4
20227.0	3.457302316392552E-4
20228.0	6.856359273225917E-4
20229.0	4.893564962074871E-4
20230.0	5.116636044375189E-4
20231.0	4.7302624169388445E-4
20232.0	4.125625290083028E-4
20234.0	2.591412060431729E-4
20235.0	2.737953006770211E-4
20238.0	2.4057256269922414E-4
20239.0	3.49619788480028E-4
20240.0	2.2112152839200424E-4
20241.0	5.001471020888497E-4
20242.0	4.306323117777937E-4
20243.0	5.799687709123355E-4
20244.0	4.865681579553894E-4
20245.0	3.7806230466780924E-4
20246.0	3.91878321781087E-4
20247.0	3.8057543005023595E-4
20248.0	3.031221582297666E-4
20249.0	4.2108391954820174E-4
20251.0	4.3345084667398715E-4
20252.0	2.029581145191161E-4
20253.0	5.368647100930566E-4
20254.0	3.84487222207982E-4
20255.0	3.78052776167553E-4
20256.0	4.7753091384336984E-4
20257.0	2.4723101265822786E-4
20258.0	4.149580160124976E-4
20260.0	5.509089998497521E-4
20263.0	4.0431607409092057E-4
20264.0	2.8107113654946854E-4
20265.0	3.8501026694045176E-4
20266.0	4.762156727869199E-4
20267.0	4.437831205784844E-4
20270.0	2.9129041654529564E-4
20271.0	1.8425254882692543E-4
20272.0	1.600896502041143E-4
20273.0	5.281963647661954E-4
20274.0	1.5733990664498873E-4
20275.0	2.7590773645293015E-4
20282.0	3.4533138531013416E-4
20288.0	3.700962250185048E-4
20289.0	3.3707573832551145E-4
20290.0	1.9887634863023914E-4
20291.0	3.9867440759474746E-4
20292.0	2.105263157894737E-4
20293.0	2.6444850466390997E-4
20294.0	4.0827436037016874E-4
20297.0	3.0118213989910396E-4
20298.0	2.252364983232394E-4
20299.0	5.348819439138076E-4
20300.0	4.726838491392178E-4
20302.0	3.714710252600297E-4
20303.0	4.0341897582007514E-4
20304.0	4.7880651176856006E-4
20308.0	2.276176024279211E-4
20309.0	3.729951510630362E-4
20312.0	2.551410930244425E-4
20315.0	3.9938095951275523E-4
20316.0	2.0161290322580645E-4
20317.0	3.5440346302812446E-4
20321.0	5.590141024012197E-4
20322.0	3.3846233955583325E-4
20324.0	3.110661793296524E-4
20325.0	1.5802781289506955E-4
20326.0	4.4199469606364723E-4
20327.0	2.854547813675879E-4
20330.0	3.380662609871535E-4
20332.0	5.152329749103943E-4
20333.0	4.3279738590378913E-4
20334.0	4.153277810566813E-4
20335.0	3.6463912121971785E-4
20336.0	6.405238061347947E-4
20339.0	3.5265075819913014E-4
20340.0	5.994005994005994E-4
20341.0	4.1088188227152806E-4
20342.0	4.989154013015184E-4
20344.0	4.75274903324764E-4
20345.0	4.323950361049855E-4
20346.0	4.1050903119868636E-4
20349.0	5.81128612937758E-4
20350.0	3.8497248578998617E-4
20351.0	2.615461737974325E-4
20352.0	3.2835690206208136E-4
20359.0	6.635415997773925E-4
20360.0	3.533803034653356E-4
20361.0	4.117014706891425E-4
20363.0	5.460588793922127E-4
20364.0	3.364090734332949E-4
20365.0	5.304400241109102E-4
20367.0	3.5966371442701074E-4
20369.0	3.8735844327477385E-4
20370.0	4.1783036087348534E-4
20374.0	3.824177801772619E-4
20375.0	5.211526670754139E-4
20378.0	3.575818527209744E-4
20379.0	1.558568788546746E-4
20381.0	4.771095833965865E-4
20382.0	2.351985289401099E-4
20383.0	3.71812256681685E-4
20384.0	3.58513644607533E-4
20385.0	2.560436981244799E-4
20386.0	4.7167788688306676E-4
20388.0	3.7868428249847476E-4
20389.0	2.3637867864318638E-4
20390.0	4.2820134027019507E-4
20391.0	5.501881643522084E-4
20392.0	3.682842287694974E-4
20393.0	4.927374780410472E-4
20394.0	4.3439543016007473E-4
20395.0	3.678459374661906E-4
20396.0	4.800977653631285E-4
20397.0	3.913553941818498E-4
20398.0	5.669181457415726E-4
20399.0	3.814567158820626E-4
20400.0	2.823631624674196E-4
20401.0	5.282498851630684E-4
